algorithm,model,metric,n,mean,sample_std,ci95_low,ci95_high,median,q1,q3,min,max
algo2,deepseek-chat-v3.1,accuracy,320,0.931362,0.008639,0.930411,0.932312,0.931818,0.925325,0.938312,0.88961,0.944805
algo2,deepseek-chat-v3.1,precision,320,0.416695,0.11965,0.403536,0.429854,0.4,0.352941,0.5,0.173913,0.75
algo2,deepseek-chat-v3.1,recall,320,0.222039,0.068774,0.214476,0.229603,0.210526,0.157895,0.263158,0.105263,0.421053
algo2,deepseek-chat-v3.1,accuracy,320,0.900332,0.00343,0.899955,0.900709,0.900332,0.898671,0.901993,0.887043,0.905316
algo2,deepseek-chat-v3.1,precision,320,0.364431,0.216567,0.340613,0.38825,0.4,0.25,0.5,0.0,0.75
algo2,deepseek-chat-v3.1,recall,320,0.041314,0.034722,0.037495,0.045132,0.033898,0.016949,0.050847,0.0,0.135593
algo2,deepseek-chat-v3.1,accuracy,320,0.920141,0.03669,0.916106,0.924176,0.932347,0.914376,0.94186,0.749471,0.948203
algo2,deepseek-chat-v3.1,precision,320,0.267281,0.145281,0.251303,0.28326,0.230769,0.163399,0.333333,0.056604,0.666667
algo2,deepseek-chat-v3.1,recall,320,0.123498,0.11399,0.110961,0.136034,0.076923,0.057692,0.134615,0.038462,0.576923
algo2,gemini-2.0-flash-exp,accuracy,320,0.906149,0.163076,0.888213,0.924084,0.935065,0.931818,0.938312,0.0,0.941558
algo2,gemini-2.0-flash-exp,precision,320,0.380192,0.176332,0.360799,0.399585,0.444444,0.333333,0.5,0.0,0.6
algo2,gemini-2.0-flash-exp,recall,320,0.120066,0.071255,0.112229,0.127903,0.157895,0.052632,0.157895,0.0,0.263158
algo2,gemini-2.0-flash-exp,accuracy,320,0.900773,0.00287,0.900458,0.901089,0.901993,0.900332,0.901993,0.890365,0.905316
algo2,gemini-2.0-flash-exp,precision,320,0.44588,0.143323,0.430117,0.461643,0.5,0.4,0.5,0.0,0.75
algo2,gemini-2.0-flash-exp,recall,320,0.041578,0.027163,0.038591,0.044566,0.033898,0.033898,0.050847,0.0,0.169492
algo2,gemini-2.0-flash-exp,accuracy,320,0.83863,0.294354,0.806256,0.871004,0.940803,0.940803,0.942918,0.0,0.946089
algo2,gemini-2.0-flash-exp,precision,320,0.05166,0.15135,0.035014,0.068306,0.0,0.0,0.0,0.0,1.0
algo2,gemini-2.0-flash-exp,recall,320,0.003906,0.009123,0.002903,0.00491,0.0,0.0,0.0,0.0,0.038462
algo2,gemini-2.5-pro,accuracy,320,0.934963,0.006579,0.93424,0.935687,0.935065,0.928571,0.938312,0.915584,0.944805
algo2,gemini-2.5-pro,precision,320,0.45689,0.104049,0.445446,0.468333,0.461538,0.375,0.5,0.222222,0.666667
algo2,gemini-2.5-pro,recall,320,0.208059,0.061411,0.201305,0.214813,0.210526,0.157895,0.263158,0.105263,0.315789
algo2,gemini-2.5-pro,accuracy,320,0.897529,0.00366,0.897127,0.897932,0.898671,0.895349,0.900332,0.887043,0.903654
algo2,gemini-2.5-pro,precision,320,0.308125,0.108576,0.296183,0.320066,0.333333,0.25,0.333333,0.1,0.666667
algo2,gemini-2.5-pro,recall,320,0.032044,0.021871,0.029639,0.03445,0.033898,0.016949,0.033898,0.016949,0.118644
algo2,gemini-2.5-pro,accuracy,320,0.943562,0.002004,0.943341,0.943782,0.943975,0.942918,0.945032,0.934461,0.947146
algo2,gemini-2.5-pro,precision,320,0.413604,0.135882,0.39866,0.428549,0.4,0.333333,0.5,0.0,1.0
algo2,gemini-2.5-pro,recall,320,0.053185,0.029436,0.049948,0.056423,0.038462,0.038462,0.076923,0.0,0.134615
algo2,gpt-5,accuracy,320,0.920779,0.022685,0.918284,0.923274,0.928571,0.912338,0.938312,0.844156,0.951299
algo2,gpt-5,precision,320,0.397864,0.118265,0.384857,0.410871,0.391304,0.315789,0.5,0.177778,0.625
algo2,gpt-5,recall,320,0.347039,0.091455,0.336981,0.357098,0.315789,0.263158,0.421053,0.157895,0.578947
algo2,gpt-5,accuracy,320,0.89701,0.005375,0.896419,0.897601,0.89701,0.895349,0.900332,0.868771,0.905316
algo2,gpt-5,precision,320,0.331492,0.120319,0.318259,0.344725,0.333333,0.25,0.4,0.0,0.625
algo2,gpt-5,recall,320,0.043962,0.021789,0.041565,0.046358,0.033898,0.033898,0.050847,0.0,0.118644
algo2,gpt-5,accuracy,320,0.93712,0.008638,0.93617,0.93807,0.938689,0.932347,0.943975,0.912262,0.950317
algo2,gpt-5,precision,320,0.337365,0.14873,0.321008,0.353723,0.333333,0.206897,0.454545,0.071429,0.692308
algo2,gpt-5,recall,320,0.101262,0.047698,0.096016,0.106508,0.096154,0.057692,0.115385,0.019231,0.269231
algo2,openai-gpt-4o,accuracy,320,0.913454,0.164413,0.895371,0.931536,0.944805,0.938312,0.944805,0.0,0.954545
algo2,openai-gpt-4o,precision,320,0.699219,0.297154,0.666537,0.731901,0.75,0.5,1.0,0.0,1.0
algo2,openai-gpt-4o,recall,320,0.125,0.063544,0.118011,0.131989,0.105263,0.052632,0.157895,0.0,0.263158
algo2,openai-gpt-4o,accuracy,320,0.520479,0.445315,0.471502,0.569455,0.898671,0.0,0.900332,0.0,0.905316
algo2,openai-gpt-4o,precision,320,0.107552,0.247979,0.080279,0.134825,0.0,0.0,0.0,0.0,1.0
algo2,openai-gpt-4o,recall,320,0.006091,0.013206,0.004639,0.007544,0.0,0.0,0.0,0.0,0.067797
algo2,openai-gpt-4o,accuracy,320,0.440258,0.469744,0.388595,0.491922,0.0,0.0,0.943975,0.0,0.946089
algo2,openai-gpt-4o,precision,320,0.103702,0.207614,0.080868,0.126536,0.0,0.0,0.0,0.0,1.0
algo2,openai-gpt-4o,recall,320,0.011719,0.041925,0.007108,0.01633,0.0,0.0,0.0,0.0,0.326923
algo3,deepseek-chat-v3.1,Recall,240,0.057765,0.218119,0.030029,0.085501,0.0,0.0,0.0,0.0,1.0
algo3,deepseek-v3-chat-0324,Recall,240,0.007386,0.08141,-0.002966,0.017738,0.0,0.0,0.0,0.0,1.0
algo3,gemini-2.0-flash-exp,Recall,240,0.056629,0.180014,0.033738,0.079519,0.0,0.0,0.0,0.0,1.0
algo3,google-gemini-2.5-pro,Recall,240,0.030303,0.146343,0.011694,0.048912,0.0,0.0,0.0,0.0,1.0
algo3,gpt-5,Recall,240,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
algo3,openai-gpt-4o,Recall,240,0.086553,0.28046,0.05089,0.122216,0.0,0.0,0.0,0.0,1.0
