algorithm,model,feature,metric,ss,pct_with_error,pct_without_error
algo1,Mistral,Counterexample & Tag/Adjacency,recall,0.2519636707988978,0.07270223680256269,0.09071951378722086
algo1,Mistral,Error,recall,68.83013085399102,19.86042057821981,0.0
algo1,Mistral,Example,recall,0.15991821625344357,0.04614320782927783,0.057578550027599866
algo1,Mistral,Example & Array/List,recall,0.11095127410468342,0.03201416211285021,0.039948003650427756
algo1,Mistral,Example & Beam Width,recall,0.14661027892562004,0.042303301830554293,0.05278702750348747
algo1,Mistral,Example & Beam vs Contrastive,recall,0.07052341597796138,0.02034900536374393,0.02539195427598353
algo1,Mistral,Example & Contrastive Penalty,recall,0.6629325929752052,0.19128425223288623,0.23868886461974534
algo1,Mistral,Example & Counterexample,recall,0.024587637741047098,0.007094579372484096,0.008852778394486987
algo1,Mistral,Example & Greedy vs Beam/Contrastive,recall,0.035476067493112946,0.010236354517023002,0.012773157272448802
algo1,Mistral,Example & Tag/Adjacency,recall,0.18137138429752084,0.05233335936326834,0.06530276268088983
algo1,Mistral,Explanation,recall,0.2709375,0.07817699361673411,0.09755104054799582
algo1,Mistral,Explanation & Array/List,recall,0.41105457988980765,0.11860673132428998,0.14800019189026994
algo1,Mistral,Explanation & Beam Width,recall,0.0629325929752066,0.018158730036658834,0.02265887863110458
algo1,Mistral,Explanation & Beam vs Contrastive,recall,0.03333333333333329,0.009618084566457087,0.012001665888257834
algo1,Mistral,Explanation & Contrastive Penalty,recall,0.6629325929752059,0.19128425223288642,0.2386888646197456
algo1,Mistral,Explanation & Counterexample,recall,0.06797606749311316,0.019613986969318736,0.02447478151350028
algo1,Mistral,Explanation & Example,recall,0.5495876377410471,0.15857941129418343,0.1978790161345481
algo1,Mistral,Explanation & Greedy vs Beam/Contrastive,recall,0.07390581955922867,0.021324972674219417,0.026609788606432035
algo1,Mistral,Explanation & Tag/Adjacency,recall,0.06322400137741035,0.01824281375633199,0.022763800219512992
algo1,Mistral,Greedy vs Beam/Contrastive,recall,22.62924328512442,6.529499267737744,8.147658516364972
algo1,Mistral,Tag/Adjacency,recall,0.3319912190082631,0.09579358859227963,0.11953343065117836
algo1,Mistral,Tag/Adjacency & Beam Width,recall,0.017047606749311283,0.0049189597011174225,0.006137990411989304
algo1,Mistral,Tag/Adjacency & Beam vs Contrastive,recall,1.2644800275482069,0.3648562751266397,0.4552760043902598
algo1,Mistral,Tag/Adjacency & Contrastive Penalty,recall,0.6160145488980717,0.1777464007640873,0.22179602394541603
algo1,Mistral,Tag/Adjacency & Greedy vs Beam/Contrastive,recall,0.7334099517906326,0.21161996814610587,0.26406423601543405
algo1,Qwen,Array/List,accuracy,0.4146315426997225,0.10567763862605976,0.233846802329622
algo1,Qwen,Array/List & Beam Width,accuracy,0.03749999999999998,0.009557669980132678,0.02114951272221839
algo1,Qwen,Array/List & Beam vs Contrastive,accuracy,1.266814092630854,0.322874427294585,0.7144666871675148
algo1,Qwen,Array/List & Contrastive Penalty,accuracy,4.128411243112948,1.0522131254384768,2.328370296233781
algo1,Qwen,Array/List & Greedy vs Beam/Contrastive,accuracy,0.2368287276170798,0.06036082187676757,0.13356832500597937
algo1,Qwen,Array/List & Tag/Adjacency,accuracy,0.41702479338842985,0.10628760929972349,0.23519656461997596
algo1,Qwen,Beam Width,accuracy,1.1033402203856684,0.28120964539341553,0.622269547412852
algo1,Qwen,Beam vs Contrastive,accuracy,51.218363679407915,13.054085785871871,28.886491579969242
algo1,Qwen,Contrastive Penalty,accuracy,99.37161027892584,25.326961505075573,56.044296955239226
algo1,Qwen,Counterexample,accuracy,0.39340220385674957,0.10026689157119184,0.22187373107778888
algo1,Qwen,Counterexample & Array/List,accuracy,0.5930612947658436,0.15115424355632331,0.3344788639654807
algo1,Qwen,Counterexample & Beam Width,accuracy,0.08437499999999987,0.021504757455298507,0.047586403624991336
algo1,Qwen,Counterexample & Beam vs Contrastive,accuracy,0.2679504562672186,0.06829285418741468,0.15112057556660707
algo1,Qwen,Counterexample & Contrastive Penalty,accuracy,0.30265366735537175,0.07713770322291999,0.17069273568422644
algo1,Qwen,Counterexample & Greedy vs Beam/Contrastive,accuracy,0.02621405819559223,0.006681208455292346,0.014784388194897372
algo1,Qwen,Counterexample & Tag/Adjacency,accuracy,0.005237603305785124,0.001334914236894565,0.0029539402066569506
algo1,Qwen,Error,accuracy,215.0459917355368,54.80902985489603,0.0
algo1,Qwen,Example,accuracy,0.07851584022038546,0.020011426374380598,0.044281913643645594
algo1,Qwen,Example & Array/List,accuracy,0.19505509641873325,0.049713926387019006,0.1100085398197743
algo1,Qwen,Example & Beam Width,accuracy,1.0485623278236933,0.2672483382116949,0.5913755277958972
algo1,Qwen,Example & Beam vs Contrastive,accuracy,0.014231448002754778,0.0036271862226599618,0.008026351749062716
algo1,Qwen,Example & Contrastive Penalty,accuracy,0.1748127582644624,0.044554737381558504,0.09859212413120902
algo1,Qwen,Example & Counterexample,accuracy,2.0469731404958673,0.521714499601474,1.1544662527188454
