source_input,Array/List(1/-1),metric,n,mean,sample_std,median,min,max,ci95_low,ci95_high
data/results/algo2/gemini-2.0-flash-exp/evaluated/metrics_sg3_sg1.csv,1,recall,160,0.0030048076923076877,0.007004465353537952,0.0,0.0,0.0192307692307692,0.0019194545411707806,0.004090160843444594
data/results/algo2/gemini-2.5-pro/evaluated/metrics_sg1_sg2.csv,-1,accuracy,160,0.9343547077922079,0.007038999344878872,0.9366883116883118,0.9155844155844156,0.9448051948051948,0.9332640035436736,0.9354454120407422
data/results/algo2/gemini-2.5-pro/evaluated/metrics_sg1_sg2.csv,1,accuracy,160,0.9355722402597403,0.006044542899018979,0.935064935064935,0.9253246753246752,0.9448051948051948,0.9346356286339409,0.9365088518855397
data/results/algo2/gemini-2.5-pro/evaluated/metrics_sg1_sg2.csv,-1,precision,160,0.4514018201977761,0.09864162957064325,0.4722222222222222,0.2222222222222222,0.6666666666666666,0.4361171413416374,0.46668649905391474
data/results/algo2/gemini-2.5-pro/evaluated/metrics_sg1_sg2.csv,1,precision,160,0.462377553002553,0.10922253395745395,0.458041958041958,0.25,0.6666666666666666,0.4454533460256417,0.47930175997946434
data/results/algo2/gemini-2.5-pro/evaluated/metrics_sg1_sg2.csv,-1,recall,160,0.21381578947368415,0.06039628823534473,0.2105263157894736,0.1052631578947368,0.3157894736842105,0.20445728765454182,0.22317429129282648
data/results/algo2/gemini-2.5-pro/evaluated/metrics_sg1_sg2.csv,1,recall,160,0.2023026315789473,0.06206347232566365,0.2105263157894736,0.1052631578947368,0.3157894736842105,0.192685796908599,0.21191946624929558
data/results/algo2/gemini-2.5-pro/evaluated/metrics_sg2_sg3.csv,-1,accuracy,160,0.8980481727574752,0.0036257367217907943,0.8986710963455149,0.8870431893687708,0.903654485049834,0.8974863590318636,0.8986099864830868
data/results/algo2/gemini-2.5-pro/evaluated/metrics_sg2_sg3.csv,1,accuracy,160,0.8970099667774086,0.003631714857296111,0.8986710963455149,0.8887043189368771,0.9019933554817277,0.8964472267301035,0.8975727068247138
data/results/algo2/gemini-2.5-pro/evaluated/metrics_sg2_sg3.csv,-1,precision,160,0.3212190153596403,0.11572562100829506,0.3333333333333333,0.1428571428571428,0.6666666666666666,0.30328714460448175,0.3391508861147989
data/results/algo2/gemini-2.5-pro/evaluated/metrics_sg2_sg3.csv,1,precision,160,0.29503010010822506,0.09956911573629768,0.3333333333333333,0.1,0.5,0.27960170578177995,0.31045849443467016
data/results/algo2/gemini-2.5-pro/evaluated/metrics_sg2_sg3.csv,-1,recall,160,0.030190677966101625,0.022385078303881412,0.0169491525423728,0.0169491525423728,0.1186440677966101,0.026722074147068904,0.033659281785134346
data/results/algo2/gemini-2.5-pro/evaluated/metrics_sg2_sg3.csv,1,recall,160,0.03389830508474569,0.021252960278623705,0.0338983050847457,0.0169491525423728,0.1186440677966101,0.030605124771170347,0.03719148539832104
data/results/algo2/gemini-2.5-pro/evaluated/metrics_sg3_sg1.csv,-1,accuracy,160,0.9437433932346723,0.0016710655825813623,0.9439746300211416,0.9408033826638478,0.9471458773784356,0.9434844589400091,0.9440023275293354
data/results/algo2/gemini-2.5-pro/evaluated/metrics_sg3_sg1.csv,1,accuracy,160,0.9433800211416491,0.002279516197079246,0.9439746300211416,0.93446088794926,0.9460887949260042,0.9430268064474944,0.9437332358358038
data/results/algo2/gemini-2.5-pro/evaluated/metrics_sg3_sg1.csv,-1,precision,160,0.4219788024475524,0.16727577145500375,0.4,0.0,1.0,0.3960591531247325,0.44789845177037235
data/results/algo2/gemini-2.5-pro/evaluated/metrics_sg3_sg1.csv,1,precision,160,0.4052297528860029,0.09445488339357865,0.4,0.2,0.5714285714285714,0.39059381707118607,0.4198656887008197
