source_input,Convergence,metric,n,mean,sample_std,median,min,max,ci95_low,ci95_high
data/results/algo2/deepseek-chat-v3.1/evaluated/metrics_sg3_sg1.csv,1,recall,160,0.15805288461538455,0.137321136129905,0.1057692307692307,0.0384615384615384,0.5769230769230769,0.13677475412381013,0.17933101510695898
data/results/algo2/gemini-2.0-flash-exp/evaluated/metrics_sg1_sg2.csv,-1,accuracy,160,0.9361810064935066,0.003318389546504139,0.9383116883116884,0.9285714285714286,0.9415584415584416,0.9356668167061049,0.9366951962809082
data/results/algo2/gemini-2.0-flash-exp/evaluated/metrics_sg1_sg2.csv,1,accuracy,160,0.8761160714285715,0.22699851220698988,0.935064935064935,0.0,0.9415584415584416,0.840942287550434,0.911289855306709
data/results/algo2/gemini-2.0-flash-exp/evaluated/metrics_sg1_sg2.csv,-1,precision,160,0.4524925595238095,0.07414894690202396,0.5,0.3333333333333333,0.5714285714285714,0.4410030611664587,0.4639820578811603
data/results/algo2/gemini-2.0-flash-exp/evaluated/metrics_sg1_sg2.csv,1,precision,160,0.30789141414141413,0.21532016272082327,0.3333333333333333,0.0,0.6,0.274527209263976,0.34125561901885226
data/results/algo2/gemini-2.0-flash-exp/evaluated/metrics_sg1_sg2.csv,-1,recall,160,0.15624999999999994,0.053590039815835606,0.1578947368421052,0.0526315789473684,0.2631578947368421,0.14794613729985956,0.16455386270014033
data/results/algo2/gemini-2.0-flash-exp/evaluated/metrics_sg1_sg2.csv,1,recall,160,0.08388157894736839,0.06840625078606,0.1052631578947368,0.0,0.2105263157894736,0.07328192057221336,0.09448123732252342
data/results/algo2/gemini-2.0-flash-exp/evaluated/metrics_sg2_sg3.csv,-1,accuracy,160,0.9012666112956811,0.0021216268533593486,0.9019933554817277,0.893687707641196,0.9053156146179402,0.9009378618088031,0.9015953607825591
data/results/algo2/gemini-2.0-flash-exp/evaluated/metrics_sg2_sg3.csv,1,accuracy,160,0.9002803156146181,0.0033967590549386574,0.9003322259136213,0.8903654485049833,0.9053156146179402,0.8997539823460742,0.900806648883162
data/results/algo2/gemini-2.0-flash-exp/evaluated/metrics_sg2_sg3.csv,-1,precision,160,0.4673363095238095,0.12032114880816926,0.5,0.2,0.6666666666666666,0.4486923543586379,0.4859802646889811
data/results/algo2/gemini-2.0-flash-exp/evaluated/metrics_sg2_sg3.csv,1,precision,160,0.4244239404601247,0.16065090399352028,0.4285714285714285,0.0,0.75,0.39953082498568104,0.4493170559345684
data/results/algo2/gemini-2.0-flash-exp/evaluated/metrics_sg2_sg3.csv,-1,recall,160,0.03707627118644062,0.012346854182507607,0.0338983050847457,0.0169491525423728,0.0677966101694915,0.035163106309860304,0.03898943606302094
data/results/algo2/gemini-2.0-flash-exp/evaluated/metrics_sg2_sg3.csv,1,recall,160,0.04608050847457622,0.03587519210433833,0.0338983050847457,0.0,0.1694915254237288,0.04052158986583211,0.051639427083320324
data/results/algo2/gemini-2.0-flash-exp/evaluated/metrics_sg3_sg1.csv,-1,accuracy,160,0.7652285940803383,0.36876253046234897,0.9408033826638478,0.0,0.9439746300211416,0.7080882479929141,0.8223689401677624
data/results/algo2/gemini-2.0-flash-exp/evaluated/metrics_sg3_sg1.csv,1,accuracy,160,0.9120309196617337,0.16432966093866982,0.9413319238900635,0.0,0.9460887949260042,0.886567774892953,0.9374940644305143
data/results/algo2/gemini-2.0-flash-exp/evaluated/metrics_sg3_sg1.csv,-1,precision,160,0.010714285714285713,0.04223872477198192,0.0,0.0,0.2,0.004169327503004194,0.01725924392556723
data/results/algo2/gemini-2.0-flash-exp/evaluated/metrics_sg3_sg1.csv,1,precision,160,0.09260531135531135,0.20198938121861298,0.0,0.0,1.0,0.061306732472187486,0.1239038902384352
data/results/algo2/gemini-2.0-flash-exp/evaluated/metrics_sg3_sg1.csv,-1,recall,160,0.001201923076923075,0.004669643569025303,0.0,0.0,0.0192307692307692,0.00047835430949847,0.00192549184434768
data/results/algo2/gemini-2.0-flash-exp/evaluated/metrics_sg3_sg1.csv,1,recall,160,0.006610576923076912,0.011422346527140291,0.0,0.0,0.0384615384615384,0.004840665991852509,0.008380487854301314
data/results/algo2/gemini-2.5-pro/evaluated/metrics_sg1_sg2.csv,-1,accuracy,160,0.9388189935064937,0.0040800799449899824,0.9383116883116884,0.9285714285714286,0.9448051948051948,0.9381867785690683,0.939451208443919
data/results/algo2/gemini-2.5-pro/evaluated/metrics_sg1_sg2.csv,1,accuracy,160,0.9311079545454545,0.006345531504684061,0.9301948051948052,0.9155844155844156,0.9448051948051948,0.9301247042520158,0.9320912048388932
data/results/algo2/gemini-2.5-pro/evaluated/metrics_sg1_sg2.csv,-1,precision,160,0.5133195797258298,0.0860006834072582,0.5,0.2857142857142857,0.6666666666666666,0.49999363577082845,0.5266455236808311
data/results/algo2/gemini-2.5-pro/evaluated/metrics_sg1_sg2.csv,1,precision,160,0.4004597934744994,0.08896913771584805,0.3798076923076923,0.2222222222222222,0.625,0.3866738827589791,0.41424570419001966
data/results/algo2/gemini-2.5-pro/evaluated/metrics_sg1_sg2.csv,-1,recall,160,0.20559210526315783,0.054993945554319815,0.2105263157894736,0.1052631578947368,0.3157894736842105,0.19707070511508168,0.21411350541123397
data/results/algo2/gemini-2.5-pro/evaluated/metrics_sg1_sg2.csv,1,recall,160,0.21052631578947362,0.06730301359743747,0.2105263157894736,0.1052631578947368,0.3157894736842105,0.20009760578777555,0.22095502579117168
data/results/algo2/gemini-2.5-pro/evaluated/metrics_sg2_sg3.csv,-1,accuracy,160,0.8974771594684385,0.0031239630103172366,0.8986710963455149,0.8887043189368771,0.9019933554817277,0.8969930963849413,0.8979612225519358
data/results/algo2/gemini-2.5-pro/evaluated/metrics_sg2_sg3.csv,1,accuracy,160,0.8975809800664452,0.0041367954746437475,0.8986710963455149,0.8870431893687708,0.903654485049834,0.8969399769666517,0.8982219831662386
data/results/algo2/gemini-2.5-pro/evaluated/metrics_sg2_sg3.csv,-1,precision,160,0.2846015963203463,0.08006424960915062,0.3333333333333333,0.125,0.5,0.2721955123124054,0.2970076803282872
data/results/algo2/gemini-2.5-pro/evaluated/metrics_sg2_sg3.csv,1,precision,160,0.3316475191475191,0.12699453130938665,0.3333333333333333,0.1,0.6666666666666666,0.31196951265068096,0.35132552564435726
data/results/algo2/gemini-2.5-pro/evaluated/metrics_sg2_sg3.csv,-1,recall,160,0.027542372881355866,0.015177649472445534,0.0169491525423728,0.0169491525423728,0.0677966101694915,0.025190571730187402,0.02989417403252433
data/results/algo2/gemini-2.5-pro/evaluated/metrics_sg2_sg3.csv,1,recall,160,0.03654661016949146,0.026240091153078644,0.0338983050847457,0.0169491525423728,0.1186440677966101,0.032480665920837495,0.04061255441814543
data/results/algo2/gemini-2.5-pro/evaluated/metrics_sg3_sg1.csv,-1,accuracy,160,0.9439085623678647,0.001297029031663781,0.9439746300211416,0.9408033826638478,0.9460887949260042,0.9437075856372251,0.9441095390985043
data/results/algo2/gemini-2.5-pro/evaluated/metrics_sg3_sg1.csv,1,accuracy,160,0.9432148520084567,0.0024760198859999903,0.943446088794926,0.93446088794926,0.9471458773784356,0.9428311887522468,0.9435985152646665
data/results/algo2/gemini-2.5-pro/evaluated/metrics_sg3_sg1.csv,-1,precision,160,0.4250276633089133,0.0720323071344535,0.4,0.2857142857142857,0.5454545454545454,0.4138661416814915,0.4361891849363351
data/results/algo2/gemini-2.5-pro/evaluated/metrics_sg3_sg1.csv,1,precision,160,0.402180892024642,0.17774356256810925,0.3798076923076923,0.0,1.0,0.37463924166439627,0.4297225423848878
data/results/algo2/gemini-2.5-pro/evaluated/metrics_sg3_sg1.csv,-1,recall,160,0.058293269230769176,0.031802752570812894,0.048076923076923,0.0192307692307692,0.1346153846153846,0.053365381665428514,0.06322115679610983
data/results/algo2/gemini-2.5-pro/evaluated/metrics_sg3_sg1.csv,1,recall,160,0.04807692307692302,0.02597150357943245,0.0384615384615384,0.0,0.1153846153846153,0.044052596903982125,0.05210124924986391
data/results/algo2/gpt-5/evaluated/metrics_sg1_sg2.csv,-1,accuracy,160,0.9262784090909092,0.021850076874836047,0.9334415584415584,0.8441558441558441,0.948051948051948,0.9228927046021707,0.9296641135796477
data/results/algo2/gpt-5/evaluated/metrics_sg1_sg2.csv,1,accuracy,160,0.9152800324675324,0.022229698912912044,0.9155844155844156,0.8636363636363636,0.9512987012987012,0.9118355049345684,0.9187245600004964
data/results/algo2/gpt-5/evaluated/metrics_sg1_sg2.csv,-1,precision,160,0.4298468949294708,0.12172651786871928,0.4495192307692307,0.1777777777777777,0.625,0.4109851755722603,0.44870861428668135
