source_input,Example,metric,n,mean,sample_std,median,min,max,ci95_low,ci95_high
data/results/algo2/deepseek-chat-v3.1/evaluated/metrics_sg2_sg3.csv,-1,recall,160,0.04819915254237284,0.039443427326780425,0.0338983050847457,0.0,0.135593220338983,0.04208733015765116,0.054310974927094524
data/results/algo2/deepseek-chat-v3.1/evaluated/metrics_sg2_sg3.csv,1,recall,160,0.03442796610169487,0.02770537564855795,0.0338983050847457,0.0,0.1016949152542373,0.03013497366817449,0.038720958535215254
data/results/algo2/deepseek-chat-v3.1/evaluated/metrics_sg3_sg1.csv,-1,accuracy,160,0.9071419133192389,0.04693332689816814,0.9291754756871036,0.7494714587737844,0.9482029598308668,0.8998695189720335,0.9144143076664443
data/results/algo2/deepseek-chat-v3.1/evaluated/metrics_sg3_sg1.csv,1,accuracy,160,0.9331395348837208,0.01256642772161302,0.9381606765327696,0.8953488372093024,0.9482029598308668,0.9311923467347641,0.9350867230326775
data/results/algo2/deepseek-chat-v3.1/evaluated/metrics_sg3_sg1.csv,-1,precision,160,0.2653709547305453,0.15834373104016813,0.2068965517241379,0.073170731707317,0.6666666666666666,0.24083533940903962,0.28990657005205095
data/results/algo2/deepseek-chat-v3.1/evaluated/metrics_sg3_sg1.csv,1,precision,160,0.2691918947486418,0.1313986649551298,0.25717566016073473,0.0566037735849056,0.6363636363636364,0.24883146067322753,0.28955232882405607
data/results/algo2/deepseek-chat-v3.1/evaluated/metrics_sg3_sg1.csv,-1,recall,160,0.1586538461538461,0.13286756689118773,0.1153846153846153,0.0384615384615384,0.5769230769230769,0.1380658033653405,0.17924188894235168
data/results/algo2/deepseek-chat-v3.1/evaluated/metrics_sg3_sg1.csv,1,recall,160,0.0883413461538461,0.0769924963430454,0.0769230769230769,0.0384615384615384,0.3653846153846153,0.07641123524572191,0.1002714570619703
data/results/algo2/gemini-2.0-flash-exp/evaluated/metrics_sg1_sg2.csv,-1,accuracy,160,0.9065543831168832,0.16336709942057578,0.935064935064935,0.0,0.9415584415584416,0.8812403888005778,0.9318683774331886
data/results/algo2/gemini-2.0-flash-exp/evaluated/metrics_sg1_sg2.csv,1,accuracy,160,0.9057426948051948,0.16329555742105825,0.935064935064935,0.0,0.9415584415584416,0.8804397860365644,0.9310456035738252
data/results/algo2/gemini-2.0-flash-exp/evaluated/metrics_sg1_sg2.csv,-1,precision,160,0.3674727182539682,0.18966715946097973,0.43650793650793646,0.0,0.6,0.3380834874136468,0.3968619490942896
data/results/algo2/gemini-2.0-flash-exp/evaluated/metrics_sg1_sg2.csv,1,precision,160,0.3929112554112554,0.16149957154920525,0.4444444444444444,0.0,0.6,0.36788663753665135,0.4179358732858594
data/results/algo2/gemini-2.0-flash-exp/evaluated/metrics_sg1_sg2.csv,-1,recall,160,0.11019736842105259,0.07391482212878409,0.1052631578947368,0.0,0.2105263157894736,0.0987441480731671,0.12165058876893807
data/results/algo2/gemini-2.0-flash-exp/evaluated/metrics_sg1_sg2.csv,1,recall,160,0.12993421052631574,0.06728278729687627,0.1578947368421052,0.0,0.2631578947368421,0.11950863462235987,0.14035978643027158
data/results/algo2/gemini-2.0-flash-exp/evaluated/metrics_sg2_sg3.csv,-1,accuracy,160,0.9009032392026578,0.0015368236566585417,0.9003322259136213,0.8970099667774086,0.903654485049834,0.9006651059099214,0.9011413724953942
data/results/algo2/gemini-2.0-flash-exp/evaluated/metrics_sg2_sg3.csv,1,accuracy,160,0.9006436877076412,0.0037593881064141195,0.9019933554817277,0.8903654485049833,0.9053156146179402,0.9000611644854253,0.9012262109298572
data/results/algo2/gemini-2.0-flash-exp/evaluated/metrics_sg2_sg3.csv,-1,precision,160,0.43249399540517963,0.088551094990316,0.41428571428571426,0.25,0.6,0.41877286108108475,0.4462151297292745
data/results/algo2/gemini-2.0-flash-exp/evaluated/metrics_sg2_sg3.csv,1,precision,160,0.4592662545787546,0.18168789449722325,0.5,0.0,0.75,0.43111342365406624,0.48741908550344293
