source_input,Tag/Adjacency(1/-1),metric,n,mean,sample_std,median,min,max,ci95_low,ci95_high
data/results/algo2/gemini-2.5-pro/evaluated/metrics_sg2_sg3.csv,1,accuracy,160,0.8979962624584716,0.0025632541350910742,0.8986710963455149,0.8920265780730897,0.903654485049834,0.8975990821153237,0.8983934428016196
data/results/algo2/gemini-2.5-pro/evaluated/metrics_sg2_sg3.csv,-1,precision,160,0.30193127185314683,0.10164722172286898,0.3333333333333333,0.1,0.5,0.2861808716679987,0.31768167203829495
data/results/algo2/gemini-2.5-pro/evaluated/metrics_sg2_sg3.csv,1,precision,160,0.3143178436147186,0.11507458823804446,0.30952380952380953,0.1428571428571428,0.6666666666666666,0.2964868514324447,0.3321488357969925
data/results/algo2/gemini-2.5-pro/evaluated/metrics_sg2_sg3.csv,-1,recall,160,0.031249999999999934,0.02043353594850931,0.0338983050847457,0.0169491525423728,0.1186440677966101,0.02808379080183723,0.03441620919816264
data/results/algo2/gemini-2.5-pro/evaluated/metrics_sg2_sg3.csv,1,recall,160,0.03283898305084739,0.023257187360560094,0.0169491525423728,0.0169491525423728,0.1186440677966101,0.02923524453344356,0.03644272156825122
data/results/algo2/gemini-2.5-pro/evaluated/metrics_sg3_sg1.csv,-1,accuracy,160,0.9432809196617337,0.0016684350172627488,0.943446088794926,0.9386892177589852,0.9471458773784356,0.9430223929773895,0.9435394463460778
data/results/algo2/gemini-2.5-pro/evaluated/metrics_sg3_sg1.csv,1,accuracy,160,0.9438424947145878,0.002261136602547965,0.9439746300211416,0.93446088794926,0.9471458773784356,0.9434921279681113,0.9441928614610643
data/results/algo2/gemini-2.5-pro/evaluated/metrics_sg3_sg1.csv,-1,precision,160,0.39038210053835054,0.09039289551498782,0.3867521367521367,0.2,0.6666666666666666,0.3763755762662265,0.4043886248104746
data/results/algo2/gemini-2.5-pro/evaluated/metrics_sg3_sg1.csv,1,precision,160,0.4368264547952048,0.16669690570080697,0.4285714285714285,0.0,1.0,0.41099650165027884,0.4626564079401308
data/results/algo2/gemini-2.5-pro/evaluated/metrics_sg3_sg1.csv,-1,recall,160,0.054687499999999944,0.027328388332731508,0.0576923076923076,0.0192307692307692,0.1346153846153846,0.050452922356262794,0.058922077643737095
data/results/algo2/gemini-2.5-pro/evaluated/metrics_sg3_sg1.csv,1,recall,160,0.05168269230769225,0.031417598837722625,0.0384615384615384,0.0,0.1153846153846153,0.0468144849315998,0.0565508996837847
data/results/algo2/gpt-5/evaluated/metrics_sg1_sg2.csv,-1,accuracy,160,0.9189326298701299,0.023166208270964335,0.9237012987012987,0.8636363636363636,0.9512987012987012,0.9153429887087121,0.9225222710315477
data/results/algo2/gpt-5/evaluated/metrics_sg1_sg2.csv,1,accuracy,160,0.9226258116883116,0.02211135488364116,0.9301948051948052,0.8441558441558441,0.948051948051948,0.9191996217526666,0.9260520016239566
data/results/algo2/gpt-5/evaluated/metrics_sg1_sg2.csv,-1,precision,160,0.38744454483670604,0.11662361001266378,0.3478260869565217,0.1818181818181818,0.625,0.36937352924373545,0.4055155604296766
data/results/algo2/gpt-5/evaluated/metrics_sg1_sg2.csv,1,precision,160,0.40828403791851936,0.11933920426373185,0.4142156862745098,0.1777777777777777,0.625,0.38979223663687135,0.4267758392001674
data/results/algo2/gpt-5/evaluated/metrics_sg1_sg2.csv,-1,recall,160,0.34374999999999994,0.1072181700479534,0.3157894736842105,0.1578947368421052,0.5789473684210527,0.32713637242856786,0.36036362757143203
data/results/algo2/gpt-5/evaluated/metrics_sg1_sg2.csv,1,recall,160,0.350328947368421,0.07254687455585136,0.3684210526315789,0.2105263157894736,0.5263157894736842,0.3390876926929937,0.3615702020438483
data/results/algo2/gpt-5/evaluated/metrics_sg2_sg3.csv,-1,accuracy,160,0.8960236710963455,0.006856095882820962,0.8970099667774086,0.8687707641196013,0.903654485049834,0.8949613080328809,0.8970860341598101
data/results/algo2/gpt-5/evaluated/metrics_sg2_sg3.csv,1,accuracy,160,0.8979962624584716,0.0029999815637734317,0.8986710963455149,0.8920265780730897,0.9053156146179402,0.8975314104991498,0.8984611144177935
data/results/algo2/gpt-5/evaluated/metrics_sg2_sg3.csv,-1,precision,160,0.31766306153641677,0.125895996861463,0.3125,0.0,0.5714285714285714,0.29815527471581477,0.33717084835701877
data/results/algo2/gpt-5/evaluated/metrics_sg2_sg3.csv,1,precision,160,0.3453201312576312,0.11317924055363034,0.3333333333333333,0.1428571428571428,0.625,0.32778282624175037,0.3628574362735121
data/results/algo2/gpt-5/evaluated/metrics_sg2_sg3.csv,-1,recall,160,0.042902542372881304,0.023275387849084932,0.0338983050847457,0.0,0.1186440677966101,0.03929598366056243,0.04650910108520018
data/results/algo2/gpt-5/evaluated/metrics_sg2_sg3.csv,1,recall,160,0.045021186440677916,0.020211274698715254,0.0338983050847457,0.0169491525423728,0.0847457627118644,0.04188941697997751,0.04815295590137832
data/results/algo2/gpt-5/evaluated/metrics_sg3_sg1.csv,-1,accuracy,160,0.9386892177589852,0.006815708865658116,0.9408033826638478,0.9249471458773784,0.9482029598308668,0.9376331127286651,0.9397453227893052
